Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
.44 Kincaid Magnum	yearofthegoat	44_kincaid_magnum_yotg	State	Unaligned	Gun State	1						Fixed	44 kincaid magnum gun	Not Cumulative. Weapon. Play on a Character. Subject gains +3 combat damage.	
A Clockwork Orangutan	yearofthegoat	a_clockwork_orangutan_yotg	Character	Jammers	Wound-Up Ape	5	{jam}{jam}{tek}{tek}	{jam}{tek}	8			Fixed	clockwork orangutan wound up ape	Unique. Independent. Turn and maintain X {jam} cards you control :: This card gains +X Fighting.	
Agency Support	yearofthegoat	agency_support_yotg	Edge	Ascended	Edge	2	{asc}{asc}					Fixed	agency support	Characters you control gain Stealth and Tactics while you have Power in your pool.	
Agent Provocateur	yearofthegoat	agent_provocateur_yotg	Character	Ascended	Manipulative Spy	3	{asc}{asc}	{asc}	2			Fixed	agent provocateur manipulative spy	While you have Power in your pool, turn and maintain and target a Character with a printed Fighting of 5 or less :: Take control of target.	
Aimee Sprigg	yearofthegoat	aimee_sprigg_yotg	Character	Jammers	Environmentalist Saboteur	4	{jam}{jam}{jam}	{jam}	6			Fixed	aimee sprigg environmentalist saboteur	Unique. Guts. +2 Fighting for each Feng Shui Site in your smoked pile.	
Aleut Herbalist	yearofthegoat	aleut_herbalist_yotg	Character	Four Monarchs	Ice Healer	1		{mon}{mag}	1			Fixed	aleut herbalist ice healer	Cannot intercept. Turn and maintain and target a {mon} Character :: Heal target when target unturns.	
Alfar	yearofthegoat	alfar_yotg	Character	Four Monarchs	Netherworld Ghosts	2		{mon}{mag}	2			Fixed	alfar netherworld ghost	Ambush against turned Characters.	
Ancestral River Home	yearofthegoat	ancestral_river_home_yotg	Site	Feng Shui Site	Feng Shui Site					1	7	Fixed	ancestral river home	When an opponent reduces this card's Body to 0, play a card from your hand at no cost and regardless of type if that opponent is now closer to victory than you.	
Ancient Lineage	yearofthegoat	ancient_lineage_yotg	Edge	Four Monarchs	Edge	1	{mon}{mon}					Fixed	ancient lineage	Limited. Characters you control that share a title with a Character in your smoked pile gain +1 Fighting.	
Angie Dao	yearofthegoat	angie_dao_yotg	Character	Dragons	Netherworld Scientist	3	{dra}{dra}{dra}	{dra}{dra}{tek}	4			Fixed	angie dao netherworld scientist	Unique. Immunity to Events. Once per turn when a Character you control is about to enter combat, you may play a Character or State from your hand at -1 cost.	
Arcane Vault	yearofthegoat	arcane_vault_yotg	Site	Feng Shui Site	Feng Shui Site					1	8	Fixed	arcane vault	Your hand size is increased by 1.	
Austere Monks	yearofthegoat	austere_monks_yotg	Character	Guiding Hand	Order of the Closed Fist	2	{han}	{han}{chi}	2			Fixed	austere monk order closed fist	While you have 2 or fewer cards in your hand, Characters you control gain +1 Fighting.	
Ba Jiao Gui	yearofthegoat	ba_jiao_gui_yotg	Character	Eaters of the Lotus	Cursed Ghost	1	{lot}	{lot}{mag}	1			Fixed	ba jiao gui cursed ghost	Turn and maintain and target a non-foundation card :: When target is smoked, toast it instead.	
Balancing Stones	yearofthegoat	balancing_stones_yotg	Site	Feng Shui Site	Feng Shui Site					1	8	Fixed	balancing stone	Reveal this card :: Search your deck for a non-Feng Shui Site, reveal it, put it in your hand, then shuffle your deck. 	
Barbarian	yearofthegoat	barbarian_yotg	Character	Four Monarchs	Netherworld Loyalist	4	{mon}{mon}{mon}	{mon}	7			Fixed	barbarian netherworld loyalist	Loyalty. Gains Ambush while attacking a {mon} or <Netherworld> card.	
Baxter's Irregulars	yearofthegoat	baxters_irregulars_yotg	Character	Dragons	Resilient Bruisers	3	{dra}	{dra}	4			Fixed	baxter irregular resilient bruiser	Guts. +2 combat damage while this card is damaged.	
Bear Market	yearofthegoat	bear_market_yotg	Event	Ascended	Event	1	{asc}{asc}{asc}					Fixed	bear market	One-Shot. All players discard their hands.	
Betrayers of the Crane	yearofthegoat	betrayers_of_the_crane_yotg	Character	Ascended	Martial Artists	1		{asc}{chi}	1			Fixed	betrayer crane martial artist	If a card at this location is attacked, this card must be declared as an interceptor. You may discard an additional card during your Establishing Shot.	
Blue Flower Society	yearofthegoat	blue_flower_society_yotg	Character	Guiding Hand	Secret Students of Subterfuge	1		{han}{chi}	1			Fixed	blue flower society secret student subterfuge	This card cannot be intercepted by or intercept Characters that share a designator with another Character in play.	
Board of Punishments	yearofthegoat	board_of_punishments_yotg	Character	Eaters of the Lotus	Eunuch Torturers	2	{lot}	{lot}{mag}	2			Fixed	board punishment eunuch torturer	Once per turn when a Character is smoked, you may draw a card. If you do, that Character's controller must discard a card at random.	
Bountiful Master	yearofthegoat	bountiful_master_yotg	Character	Guiding Hand	Kung Fu Gardener	4	{han}{han}	{han}{chi}	6			Fixed	bountiful master kung fu gardener	Once per turn, when an effect targets a card you control, you may target a damaged Site :: Heal target and draw a card.	
Buddhist Bellringer	yearofthegoat	buddhist_bellringer_yotg	Character	Guiding Hand	Zazen Student	2		{han}{chi}	2			Fixed	buddhist bellringer zazen student	Characters you control at this location gain Toughness: 1 except when attacking.	
Bustling Metro Station	yearofthegoat	bustling_metro_station_yotg	Site	Feng Shui Site	Feng Shui Site					1	8	Fixed	bustling metro station	When this site is revealed, you may choose an Event targeting a card you control :: Cancel the chosen event. 	
